experiment,directional_acc,auc_roc,sharpe,precision,recall,alpha,num_trades,predicted_down,pct_down_predictions,r2,rmse
sweep_lr_0.001,0.53671875,0.5422309280273743,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.007081031799316406,1.0886205434799194
sweep2_hidden_20,0.53671875,0.4736776217442211,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.03272569179534912,1.1023939847946167
sweep2_hidden_12,0.53671875,0.5004136075661957,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.0014213323593139648,1.085557222366333
exp004_attn1,0.53671875,0.49342032592767143,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.07288110256195068,1.1236217021942139
sweep2_combo1,0.5349206349206349,0.49904295074994176,0.8491509303396099,0.5349206349206349,1.0,0.0,1260,0,0.0,-0.0016084909439086914,1.0810589790344238
exp006_monthly,0.6274509803921569,0.5032894736842105,3.274471076839194,0.6274509803921569,1.0,0.0,51,0,0.0,-0.003203153610229492,4.6031060218811035
sweep2_combo3,0.5346456692913386,0.47328733157400277,0.7914648875824186,0.5346456692913386,1.0,0.0,1270,0,0.0,-0.024450063705444336,1.1010836362838745
exp001_baseline,0.53671875,0.5421253783220542,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.0071527957916259766,1.0886592864990234
exp005_attn4,0.53671875,0.5263051957456104,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,0.001407027244567871,1.0840232372283936
sweep_hidden_24,0.53671875,0.4735278884413254,0.8329736080938573,0.53671875,1.0,0.0,1280,0,0.0,-0.051447272300720215,1.112341284751892
