experiment,learning_rate,hidden_size,max_encoder_length,dropout,max_epochs,best_val_loss,total_epochs,early_stopped
sweep2_hidden_20,0.0005,20,20,0.15,50,0.067114472,12,TRUE
sweep_hidden_24,0.0005,24,20,0.15,50,0.105576098,11,TRUE
sweep2_hidden_12,0.0005,12,20,0.15,50,0.111938268,14,TRUE
sweep2_h16_lr_0.0002,0.0002,16,20,0.15,50,0.115431048,14,TRUE
sweep2_h16_lr_0.0007,0.0007,16,20,0.15,50,0.118746787,12,TRUE
sweep2_h16_lr_0.0006,0.0006,16,20,0.15,50,0.119824544,12,TRUE
sweep2_h16_lr_0.0003,0.0003,16,20,0.15,50,0.122650653,13,TRUE
sweep2_hidden_10,0.0005,10,20,0.15,50,0.122899868,14,TRUE
sweep2_combo2,0.0005,10,30,0.15,75,0.124886826,14,TRUE
sweep2_combo1,0.0004,12,40,0.2,75,0.125285834,15,TRUE
sweep2_h16_drop_0.25,0.0005,16,20,0.25,50,0.125999004,12,TRUE
sweep2_h16_enc_40,0.0005,16,40,0.15,50,0.127670258,12,TRUE
sweep2_h16_drop_0.3,0.0005,16,20,0.3,50,0.127994344,12,TRUE
sweep2_h16_drop_0.2,0.0005,16,20,0.2,50,0.128439426,12,TRUE
sweep2_h16_lr_0.0004,0.0004,16,20,0.15,50,0.12982744,13,TRUE
sweep2_h16_enc_30,0.0005,16,30,0.15,50,0.130378723,12,TRUE
sweep2_h16_enc_50,0.0005,16,50,0.15,50,0.131411955,12,TRUE
sweep2_h16_enc_15,0.0005,16,15,0.15,50,0.131924331,12,TRUE
sweep2_h16_drop_0.1,0.0005,16,20,0.1,50,0.132154942,12,TRUE
sweep2_h16_enc_20,0.0005,16,20,0.15,50,0.132447302,12,TRUE
sweep2_h16_drop_0.15,0.0005,16,20,0.15,50,0.132447302,12,TRUE
sweep_hidden_16,0.0005,16,20,0.15,50,0.132447302,12,TRUE
sweep2_h16_lr_0.0005,0.0005,16,20,0.15,50,0.132447302,12,TRUE
sweep2_hidden_16,0.0005,16,20,0.15,50,0.132447302,12,TRUE
sweep2_h16_lr_0.0008,0.0008,16,20,0.15,50,0.134111524,12,TRUE
sweep2_h16_enc_60,0.0005,16,60,0.15,50,0.135668203,12,TRUE
sweep_lr_0.001,0.001,32,20,0.15,50,0.13702631,11,TRUE
sweep_baseline,0.001,32,20,0.15,50,0.13702631,11,TRUE
sweep_lr_0.0003,0.0003,32,20,0.15,50,0.137382656,12,TRUE
sweep2_hidden_14,0.0005,14,20,0.15,50,0.137690842,12,TRUE
sweep_combo2,0.0003,64,40,0.15,100,0.138556421,12,TRUE
sweep2_h16_drop_0.05,0.0005,16,20,0.05,50,0.138777703,12,TRUE
sweep2_combo3,0.0003,18,30,0.25,75,0.140893027,14,TRUE
sweep2_hidden_8,0.0005,8,20,0.15,50,0.145136029,15,TRUE
sweep_lr_0.0007,0.0007,32,20,0.15,50,0.146601051,11,TRUE
sweep2_hidden_18,0.0005,18,20,0.15,50,0.147668898,14,TRUE
sweep_combo3,0.0007,32,60,0.25,75,0.147792414,11,TRUE
sweep_combo1,0.0005,48,60,0.2,100,0.149419188,12,TRUE
sweep_dropout_0.3,0.0005,32,20,0.3,50,0.150723919,12,TRUE
sweep_encoder_10,0.0005,32,10,0.15,50,0.15207009,11,TRUE
sweep_hidden_48,0.0005,48,20,0.15,50,0.15297547,12,TRUE
sweep_dropout_0.1,0.0005,32,20,0.1,50,0.153082252,11,TRUE
sweep_encoder_40,0.0005,32,40,0.15,50,0.153250024,11,TRUE
sweep_encoder_60,0.0005,32,60,0.15,50,0.153373152,11,TRUE
sweep_hidden_32,0.0005,32,20,0.15,50,0.15444538,11,TRUE
sweep_lr_0.0005,0.0005,32,20,0.15,50,0.15444538,11,TRUE
sweep_encoder_20,0.0005,32,20,0.15,50,0.15444538,11,TRUE
sweep_dropout_0.15,0.0005,32,20,0.15,50,0.15444538,11,TRUE
sweep_dropout_0.2,0.0005,32,20,0.2,50,0.154932052,11,TRUE
sweep_hidden_64,0.0005,64,20,0.15,50,0.163347602,11,TRUE
sweep_lr_0.002,0.002,32,20,0.15,50,0.170111567,11,TRUE
